Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR26073845_1	SRR26073845_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31444.0	9.4 Mbp	0.0	301.0	51.0	11.44892507314591	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073845_2	SRR26073845_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31444.0	9.4 Mbp	0.0	301.0	51.0	22.201373871008776	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073846_1	SRR26073846_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40877.0	12.3 Mbp	0.0	301.0	51.0	6.50977322210534	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073846_2	SRR26073846_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40877.0	12.3 Mbp	0.0	301.0	51.0	15.487927196222815	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073847_1	SRR26073847_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15887.0	4.7 Mbp	0.0	301.0	51.0	10.543211430729526	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073847_2	SRR26073847_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15887.0	4.7 Mbp	0.0	301.0	51.0	21.955057594259458	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073848_1	SRR26073848_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34798.0	10.4 Mbp	0.0	301.0	51.0	10.10977642393241	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073848_2	SRR26073848_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34798.0	10.4 Mbp	0.0	301.0	51.0	18.80280475889419	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073849_1	SRR26073849_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36906.0	11.1 Mbp	0.0	301.0	51.0	8.722158998536823	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073849_2	SRR26073849_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36906.0	11.1 Mbp	0.0	301.0	51.0	18.322224028613235	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073850_1	SRR26073850_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25638.0	7.7 Mbp	0.0	301.0	50.0	6.287541929947733	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073850_2	SRR26073850_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25638.0	7.7 Mbp	0.0	301.0	50.0	15.668148841563303	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073851_1	SRR26073851_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16703.0	5 Mbp	0.0	301.0	50.0	11.273423935819912	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073851_2	SRR26073851_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16703.0	5 Mbp	0.0	301.0	51.0	22.732443273663414	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073852_1	SRR26073852_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24987.0	7.5 Mbp	0.0	301.0	51.0	9.749069516148397	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073852_2	SRR26073852_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24987.0	7.5 Mbp	0.0	301.0	51.0	20.0024012486493	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR26073853_1	SRR26073853_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37511.0	11.2 Mbp	0.0	301.0	50.0	6.736690570765909	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
