Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR26073845_1	88.55107492685408	51.0	301.0	301	36.36363636363637	31444.0
SRR26073845_2	77.79862612899123	51.0	301.0	301	36.36363636363637	31444.0
SRR26073846_1	93.49022677789466	51.0	301.0	301	36.36363636363637	40877.0
SRR26073846_2	84.51207280377719	51.0	301.0	301	36.36363636363637	40877.0
SRR26073847_1	89.45678856927047	51.0	301.0	301	36.36363636363637	15887.0
SRR26073847_2	78.04494240574054	51.0	301.0	301	36.36363636363637	15887.0
SRR26073848_1	89.8902235760676	51.0	301.0	301	36.36363636363637	34798.0
SRR26073848_2	81.19719524110582	51.0	301.0	301	36.36363636363637	34798.0
SRR26073849_1	91.27784100146317	51.0	301.0	301	36.36363636363637	36906.0
SRR26073849_2	81.67777597138677	51.0	301.0	301	36.36363636363637	36906.0
SRR26073850_1	93.71245807005226	50.0	301.0	301	36.36363636363637	25638.0
SRR26073850_2	84.33185115843669	50.0	301.0	301	36.36363636363637	25638.0
SRR26073851_1	88.7265760641801	50.0	301.0	301	36.36363636363637	16703.0
SRR26073851_2	77.26755672633658	51.0	301.0	301	36.36363636363637	16703.0
SRR26073852_1	90.2509304838516	51.0	301.0	301	36.36363636363637	24987.0
SRR26073852_2	79.9975987513507	51.0	301.0	301	36.36363636363637	24987.0
SRR26073853_1	93.26330942923408	50.0	301.0	301	36.36363636363637	37511.0
SRR26073853_2	84.10066380528379	50.0	301.0	301	36.36363636363637	37511.0
SRR26073854_1	91.24249833296288	50.0	301.0	301	36.36363636363637	17996.0
SRR26073854_2	80.46232496110247	50.0	301.0	301	36.36363636363637	17996.0
SRR26073855_1	85.50338818973863	51.0	301.0	301	36.36363636363637	8264.0
SRR26073855_2	70.65585672797677	51.0	301.0	301	36.36363636363637	8264.0
SRR26073856_1	86.98551829268293	52.0	301.0	301	36.36363636363637	15744.0
SRR26073856_2	74.33943089430895	52.0	301.0	301	36.36363636363637	15744.0
SRR26073857_1	92.69455114525537	51.0	301.0	301	36.36363636363637	42174.0
SRR26073857_2	82.09086166832645	51.0	301.0	301	36.36363636363637	42174.0
SRR26073858_1	77.73661165375547	50.0	301.0	301	45.45454545454545	26721.0
SRR26073858_2	67.95778601100258	50.0	301.0	301	45.45454545454545	26721.0
SRR26073859_1	91.4396126548779	52.0	301.0	301	36.36363636363637	66504.0
SRR26073859_2	82.07476242030555	53.0	301.0	301	36.36363636363637	66504.0
SRR26073860_1	80.6082336170029	50.0	301.0	301	45.45454545454545	46298.0
SRR26073860_2	70.77843535357898	50.0	301.0	301	36.36363636363637	46298.0
SRR26073861_1	92.5596806988478	51.0	301.0	301	36.36363636363637	26558.0
SRR26073861_2	83.5040289178402	52.0	301.0	301	36.36363636363637	26558.0
SRR26073862_1	88.33967046894804	51.0	301.0	301	36.36363636363637	17358.0
SRR26073862_2	77.3360986288743	51.0	301.0	301	36.36363636363637	17358.0
SRR26073863_1	92.70073884105759	53.0	301.0	301	36.36363636363637	81885.0
SRR26073863_2	83.68443548879526	53.0	301.0	301	36.36363636363637	81885.0
SRR26073864_1	90.9084798171613	52.0	301.0	301	36.36363636363637	59506.0
SRR26073864_2	81.22710314926226	52.0	301.0	301	36.36363636363637	59506.0
SRR26073865_1	92.22338281376429	51.0	301.0	301	36.36363636363637	67973.0
SRR26073865_2	83.75531461021288	51.0	301.0	301	36.36363636363637	67973.0
SRR26073866_1	90.17787418655098	51.0	301.0	301	36.36363636363637	23050.0
SRR26073866_2	79.44902386117137	52.0	301.0	301	36.36363636363637	23050.0
SRR26073867_1	90.6588657669038	50.0	301.0	301	36.36363636363637	15041.0
SRR26073867_2	80.33375440462736	51.0	301.0	301	36.36363636363637	15041.0
SRR26073868_1	91.2098898352335	50.0	301.0	301	36.36363636363637	52013.0
SRR26073868_2	82.34672101205467	50.0	301.0	301	36.36363636363637	52013.0
SRR26073869_1	73.54368932038835	52.0	301.0	301	36.36363636363637	3708.0
SRR26073869_2	47.16828478964401	52.0	301.0	301	27.27272727272727	3708.0
SRR26073870_1	92.54489047663814	49.0	301.0	301	36.36363636363637	31911.0
SRR26073870_2	84.6228573219266	50.0	301.0	301	36.36363636363637	31911.0
SRR26073871_1	88.75788432205137	49.0	301.0	301	36.36363636363637	24257.0
SRR26073871_2	78.69068722430639	49.0	301.0	301	36.36363636363637	24257.0
